notes,main,date,Cooperating Partner,Province,Island,Area (Reported),mapper,Location/Village,followup distribution,HH,shelter tool kit,tarpaulin,collapsible jerry can (10L),jerry (20L),hygiene kit,bucket,kitchen set,sleeping mat,blanket,solar lamp,mosquito net,rice (25kg),EC food (for 1 hh 1 day),drinking water (litres),Adm1_Name,Adm1_Code,Adm2_Name,Adm2_Code,Adm3_Name,Adm3_Code,Stle_Name,Stle_Code
Shepherd Islands,VRCS,3/22/15,IFRC,Shefa,Mataso,,mataso,,,20,20,40,40,,20,,20,20,,20,,,,,SHEFA,VUT0105,Mataso - Matah Alam,VUT0105018,Makimae (Mataso - Matah Alam),VUT0105018034,,#N/A
offshore Efate2,VRCS,3/26/15,IFRC,Shefa,Moso,,offshore_moso_sunae,Sunae,,16,,32,16,,16,16,16,,32,,,,,,SHEFA,VUT0105,Moso,VUT0105065,Malorua (Moso),VUT0105065026,Sunae,VUT01050650260974
,VRCS,4/1/15,IFRC,Shefa,Nguna,,offshore_nguna_far,Farealapa,,21,13,28,28,,13,,10,,28,21,,,,,,,,,,,,
offshore Efate1,VRCS,3/29/15,IFRC,Shefa,Nguna,,offshore_nguna_malaliu,Malaliu,,11,11,22,22,,11,,,22,,11,,,,,SHEFA,VUT0105,Nguna,VUT0105068,Nguna (Nguna),VUT0105068031,Malaliu,VUT01050680311005
offshore Efate1,VRCS,3/29/15,IFRC,Shefa,Nguna,,offshore_nguna_malarei,"Malarei, Ne Kapa, and Udapua",,13,13,26,26,,13,,,26,,13,,,,,SHEFA,VUT0105,Nguna,VUT0105068,Nguna (Nguna),VUT0105068031,Malarei,VUT01050680310998
offshore Efate1,VRCS,3/29/15,IFRC,Shefa,Nguna,,offshore_nguna_matoa,Matoa,,13,13,26,26,,13,,,26,,13,,,,,SHEFA,VUT0105,Nguna,VUT0105068,Nguna (Nguna),VUT0105068031,Matoa,VUT01050680311007
offshore Efate1,VRCS,3/29/15,IFRC,Shefa,Nguna,,offshore_nguna_mere,Mere,,9,9,18,18,,9,,,18,,9,,,,,SHEFA,VUT0105,Nguna,VUT0105068,Nguna (Nguna),VUT0105068031,Mere,VUT01050680311006
,VRCS,4/1/15,IFRC,Shefa,Nguna,,offshore_nguna_rm,Rewoka Namalasi,,41,17,43,42,,20,,18,,42,40,,,,,,,,,,,,
,VRCS,4/1/15,IFRC,Shefa,Nguna,,offshore_nguna_rn,Rewoka Napua,,10,10,20,20,,10,,10,,20,26,,,,,,,,,,,,
offshore Efate1,VRCS,3/29/15,IFRC,Shefa,Nguna,,offshore_nguna_taloa,Taloa,,38,38,76,76,,38,,,76,,38,,,,,SHEFA,VUT0105,Nguna,VUT0105068,Nguna (Nguna),VUT0105068031,Taloa,VUT01050680310993
